ACCEPTED,Accepté,
ACKNOWLEDGED,ACKNOWLEDGED,
API Access Point,Point d'accès API,
APPROVED,Approuvé,
ARCHIVED,Archivé,
AUTHORING,AUTHORING,
Add an X-API-USER header in requests,Ajouter un en-tête X-API-USER dans la requête,
Adobe Settings,Paramètres Adobe,
Adobe Sign Agreement Files,Fichiers liés à un accord Adobe Sign,
Adobe Sign Agreement Users,Utilisateurs liés à un accord Adobe Sign,
Adobe Sign Agreement,Accord Adobe Sign,
Adobe Sign Webhook,Webhook Adobe Sign,
Adobe Sign,Adobe Sign,
Agreement ID,ID d'accord,
Agreement Name,Nom de l'accord,
Agreement creation issue,Erreur lors de la création de l'accord,
Agreements,Accords,
An error prevented creating the webhooks correctly,Une erreur a empêché la création du webhook,
Application Code,Code de l'application,
Application Secret,Secret de l'application,
Base URI,URI de base,
Connect to Adobe,Se connecter à Adobe,
Connected Application,Application connectée,
Create webhooks,Créer des webhooks,
DELIVERED,DELIVERED,
DIGITAL_SIGN_UIDAI_SIGNER_CONSENT,DIGITAL_SIGN_UIDAI_SIGNER_CONSENT,
DIGSIGNED,DIGSIGNED,
DOCUMENTS_NOT_YET_PROCESSED,DOCUMENTS_NOT_YET_PROCESSED,
Download completed,Téléchargement terminé,
Download started,Téléchargement lancé,
Download the agreement,Télécharger l'accord,
ESIGNED,ESIGNED,
EXPIRED,EXPIRED,
Enable Adobe Sign,Activer Adobe Sign,
FORM_FILLED,FORM_FILLED,
Get the signed agreement URL,Obtenir l'accord signé,
Invalid file,Fichier invalide,
OUT_FOR_ACCEPTANCE,OUT_FOR_ACCEPTANCE,
OUT_FOR_APPROVAL,OUT_FOR_APPROVAL,
OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,
OUT_FOR_FORM_FILLING,OUT_FOR_FORM_FILLING,
OUT_FOR_SIGNATURE,OUT_FOR_SIGNATURE,
PREFILL,PREFILL,
PRESIGNED,PRESIGNED,
Request an eSignature,Demander une signature électronique,
Retry Webhook,Relancer le webhook,
Revoke access token,Révoquer le jeton d'accès,
SIGN-AGREE-.YYYY.-,SIGN-AGREE-.YYYY.-,
SIGNED,SIGNED,
Signature Settings,Paramètres de signature,
Signed Agreement URL,URL de l'accord signé,
Signer,Signataire,
Signers,Signataires,
Signing URLS,URLs de signature,
Signing order must be respected,L'ordre des signatures doit être respecté,
Status update in progress,Mise à jour du statut en cours,
The Adobe Sign endpoint,Le point d'accès Adobe Sign,
Token management,Gestion des jetons,
Token revoked,Token révoqué,
Transient Documents ID,ID de document éphémère,
URL Updated,URL mise à jour,
Update Status,Mettre à jour le statut,
Update endpoints,Mettre à jour les points d'accès,
WAITING_FOR_FAXIN,WAITING_FOR_FAXIN,
WAITING_FOR_NOTARIZATION,WAITING_FOR_NOTARIZATION,
WAITING_FOR_VERIFICATION,WAITING_FOR_VERIFICATION,
WIDGET_WAITING_FOR_VERIFICATION,WIDGET_WAITING_FOR_VERIFICATION,
WRITTEN_SIGNED,WRITTEN_SIGNED,
Web Access Point,Point d'accès web,
Webhook created successfully,Webhook créé avec succès,
You are not authorized to make a request on behalf of this user,Vous n'êtes pas autorisé à faire une demande à la place de cet utilisateur,
eSignature Request sent. Please check your email Inbox.,Demande de signature électronique envoyée. Veuillez vérifier votre boîte mail.,
eSignature,Signature électronique,
eSignatures,Signatures électroniques,
